Repository,PR Number,Title,State,Author,Created,Updated,Closed,Merged,Comments,Commits,Additions,Deletions,Changed Files,Is Draft,Is Merged,Labels
bmeddeb/gradelib,1,collaborators module complete,closed,bmeddeb,2025-04-17 02:29:31+00:00,2025-04-17 02:29:48+00:00,2025-04-17 02:29:39+00:00,2025-04-17 02:29:39+00:00,0,1,381,5,6,False,True,
PyO3/pyo3,5072,Bump codecov/codecov-action from 4 to 5,closed,dependabot[bot],2025-04-14 20:59:32+00:00,2025-04-15 20:33:42+00:00,2025-04-15 20:33:41+00:00,2025-04-15 20:33:41+00:00,0,1,1,1,1,False,True,"dependencies, CI-skip-changelog, github-actions"
PyO3/pyo3,5071,remove `AsPyPointer` trait,open,Icxolu,2025-04-13 12:34:43+00:00,2025-04-13 12:37:41+00:00,,,0,1,33,145,14,False,False,
PyO3/pyo3,5070,unify `IntoPyObject`/`FromPyObject` derive attributes,open,Icxolu,2025-04-12 10:01:15+00:00,2025-04-12 10:56:19+00:00,,,0,1,302,440,8,False,False,"bugfix, proc-macro"
PyO3/pyo3,5069,ci: fix free-threading issue in `test_coroutine`,open,davidhewitt,2025-04-11 19:13:24+00:00,2025-04-11 19:38:39+00:00,,,1,1,4,4,1,False,False,
PyO3/pyo3,5065,"ci: re-enable ffi check on 3.13 for PyConfig, ignore `_PyCoLineInstrumentationData`",closed,davidhewitt,2025-04-11 08:26:01+00:00,2025-04-11 13:38:12+00:00,2025-04-11 13:38:12+00:00,2025-04-11 13:38:12+00:00,2,2,10,5,2,False,True,
PyO3/pyo3,5064,remove private types from `pyo3-ffi`,open,davidhewitt,2025-04-11 08:16:05+00:00,2025-04-13 21:50:34+00:00,,,3,7,61,237,25,False,False,
PyO3/pyo3,5063,ci: silence `ffi-check` for private `_PyCoLineInstrumentationData` on 3.13,closed,davidhewitt,2025-04-11 07:30:49+00:00,2025-04-11 08:28:02+00:00,2025-04-11 08:28:01+00:00,2025-04-11 08:28:01+00:00,0,1,10,0,1,False,True,CI-skip-changelog
PyO3/pyo3,5060,docs: Update building-and-distribution.md,closed,n-eq,2025-04-09 04:53:41+00:00,2025-04-09 05:39:01+00:00,2025-04-09 05:39:01+00:00,2025-04-09 05:39:01+00:00,1,2,1,1,1,False,True,CI-skip-changelog
PyO3/pyo3,5058,ci: do not require changelog for ci,closed,trim21,2025-04-08 21:11:11+00:00,2025-04-13 05:49:25+00:00,2025-04-08 22:40:39+00:00,2025-04-08 22:40:39+00:00,1,2,2,0,2,False,True,
